Theor.Mass,S_4,I_4,D_4,S_9,I_9,D_9,S_10,I_10,D_10,S_12A,I_12A,D_12A,S_12B,I_12B,D_12B
Label,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter,Winter,Winter,Winter,Winter,Winter
191.1066561,0,0,0,51120,36890,40450,31900,0,45510,0,0,0,0,35150,0
191.1307763,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191.1430416,0,0,0,15280,0,0,0,0,10880,0,0,0,0,0,0
192.0502635,17550,16760,0,0,0,0,0,0,0,0,0,0,0,0,0
192.0655196,0,0,0,19850,12720,0,12430,0,12330,0,0,15620,0,0,12650
192.0784064,11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.0896398,0,19630,18200,0,0,0,0,0,0,0,0,0,0,0,0
192.0978824,0,0,0,0,35670,0,0,0,0,0,0,36900,0,39140,44400
192.1019051,0,0,0,0,0,0,19980,0,0,0,0,0,22440,0,0
192.1260253,0,11050,11150,0,0,0,0,0,0,0,0,0,0,0,0
192.1382906,0,0,0,0,0,11360,0,0,0,0,10570,0,0,0,10400
193.0049071,0,0,10590,0,0,0,0,0,0,0,0,0,0,0,0
193.0372699,0,0,17660,0,0,0,0,0,0,0,0,0,0,0,0
193.0495352,0,0,0,17150,10380,10440,11270,11820,0,0,11270,0,12230,0,11760
193.0567458,11720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193.0647913,0,0,0,10110,0,0,0,0,0,0,0,0,0,0,0
193.072002,46240,29330,25210,0,0,0,0,0,0,0,0,0,0,0,0
193.0848888,0,0,0,0,0,0,0,0,28050,0,25200,0,0,24300,0
193.0859207,0,0,0,37860,23540,26770,24200,0,0,14390,0,28160,24270,0,26990
193.1100409,24390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193.1182835,0,15940,50680,0,0,0,0,0,0,0,0,0,0,0,0
193.1223062,0,0,0,0,14630,22060,15500,0,0,0,0,0,10590,0,0
193.125677,0,0,0,0,0,0,0,0,0,0,14280,0,0,0,0
194.0325188,0,15400,0,0,0,0,0,0,0,0,0,0,0,0,0
194.0659135,21240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194.0667819,0,0,16040,0,0,0,0,0,0,0,0,0,0,0,0
194.0689043,0,13170,0,0,0,0,0,0,0,0,0,0,0,0,0
194.0771469,0,0,0,0,0,19550,0,0,0,0,0,0,0,0,0
194.0811697,0,0,0,0,13220,0,0,0,0,0,0,0,0,0,0
194.102299,0,0,0,15300,0,0,0,0,0,0,0,0,0,0,0
194.1052898,15360,17350,18520,0,0,0,0,0,0,0,0,0,0,0,0
194.1175552,0,0,0,0,16020,17640,0,0,15460,0,19450,14710,0,0,0
195.0189038,0,0,11170,0,0,0,0,0,0,0,0,0,0,0,0
195.0512665,26920,21790,0,0,0,0,0,0,0,0,0,0,0,0,0
195.0529199,0,0,18410,0,0,0,0,0,0,0,0,0,0,0,0
195.0641533,0,0,0,17200,0,0,0,0,0,0,0,0,0,0,0
195.0651853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195.0685561,29980,21430,19550,0,0,0,0,0,0,0,0,0,0,0,0
