Label,Spring,Spring,Spring,Summer,Summer,Summer,Autumn,Autumn,Autumn,Winter,Winter,Winter,Winter,Winter,Winter
167.0309595,25090,11020,0,0,0,0,0,0,0,0,0,0,0,0,0
167.0349823,0,0,0,14350,0,0,0,0,0,10530,0,0,0,0,0
167.0478691,13300,13960,13180,0,0,0,0,0,0,0,0,0,0,0,0
167.066496,0,0,23150,0,0,0,0,0,0,0,0,0,0,0,0
167.067345,30220,23010,0,0,0,0,0,0,0,0,0,0,0,0,0
167.0713678,0,0,0,14700,0,0,0,0,0,12420,0,0,0,0,0
167.1067214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168.0583742,0,13800,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0093751,10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0466096,23630,18760,18130,0,0,0,0,0,0,0,0,0,0,0,0
169.0506323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0635191,14710,14300,14200,0,0,0,0,0,0,0,0,0,0,0,0
169.0658885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0870179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0411303,22320,12460,10190,0,0,0,0,0,0,0,0,0,0,0,0
171.045153,0,0,0,13980,0,0,12020,0,0,10270,0,0,10900,0,0
171.0775158,21870,18290,0,0,0,0,0,0,0,0,0,0,0,0,0
171.0815386,0,0,0,16000,14570,14080,14650,14310,13940,12490,15070,0,0,14110,13700
171.1502868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.0767875,0,10290,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0203948,14140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0244176,0,0,0,13380,0,0,0,0,0,0,0,0,0,0,0
173.0567804,38650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0597712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16340
173.0608031,0,0,0,25070,15850,15550,19590,15290,14690,18040,13600,16150,20140,17750,0
173.0931659,20600,16760,16170,0,0,0,0,0,0,0,0,0,0,0,0
173.0971886,0,0,0,15390,0,11900,14080,0,0,11000,13390,12890,11440,12430,11460
174.0560521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174.0924376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0351959,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0
175.0360449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0400677,0,0,0,25790,10540,0,17980,0,0,17460,10840,0,19950,10120,10270
175.0472783,0,10100,11880,0,0,0,0,0,0,0,0,0,0,0,0
175.0754212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.0764532,0,0,0,23390,17540,15540,0,17800,0,18160,17440,0,20820,16110,14430
175.1088159,25080,22360,0,0,0,0,0,0,0,0,0,0,0,0,0
175.1128387,0,0,0,15510,12920,11960,14440,13300,12030,12580,12720,13620,13070,13610,11990
176.0353166,18220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176.0717021,0,18140,19290,0,0,0,0,0,0,0,0,0,0,0,0
176.075073,0,0,0,0,0,0,0,0,0,10070,0,0,0,0,0
177.0153095,28910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.0193322,0,0,0,19050,0,0,11520,0,0,13150,0,0,15400,0,0
177.050846,0,23150,0,0,0,0,0,0,0,0,0,0,0,0,0
177.051695,43970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.0557177,0,0,0,23820,0,0,17870,10380,10460,16930,11550,0,17350,10530,10630
177.0629284,0,0,11700,0,0,0,0,0,0,0,0,0,0,0,0
177.0880805,43700,34670,31210,0,0,0,0,0,0,0,0,0,0,0,0
177.0910713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.0921032,0,0,0,22890,15570,0,0,16280,16090,0,0,15590,20860,16280,16050
177.124466,19290,14310,0,0,0,0,0,0,0,0,0,0,0,0,0
178.0509667,20590,0,18530,0,0,0,0,0,0,0,0,0,0,0,0
178.0833295,0,10690,10750,0,0,0,0,0,0,0,0,0,0,0,0
178.0873522,14910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178.9985968,0,0,0,13890,0,0,11900,0,0,12080,0,0,11560,0,0
179.0309595,38960,13160,0,0,0,0,0,0,0,0,0,0,0,0,0
179.0349823,0,0,0,0,0,0,14040,0,0,13060,0,0,13260,0,0
179.067345,0,0,24460,0,0,0,0,0,0,0,0,0,0,0,0
179.0703359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179.0713678,0,0,0,20720,11810,12100,16270,12140,10420,17260,0,12360,17680,0,10450
